INFO 2024-08-01 23:57:15,480 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-01 23:57:15,774 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\cache\backends\base.py first seen with mtime 1699555231.9653678
DEBUG 2024-08-01 23:57:15,774 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\sqlparse\engine\grouping.py first seen with mtime 1699544495.8222134
DEBUG 2024-08-01 23:57:15,774 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1699555230.7469952
DEBUG 2024-08-01 23:57:15,780 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\windows_events.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,780 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1713042365.0
DEBUG 2024-08-01 23:57:15,785 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1699555231.9815495
DEBUG 2024-08-01 23:57:15,785 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\base_tasks.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,785 utils (0.047) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-08-01 23:57:15,785 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1699555232.081888
DEBUG 2024-08-01 23:57:15,785 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1699555230.7469952
